"seqnames" "start" "end" "width" "strand" "Conc" "Conc_none" "Conc_ER" "Fold" "p.value" "FDR" "peak" "feature" "start_position" "end_position" "feature_strand" "insideFeature" "distancetoFeature" "shortestDistance" "fromOverlappingOrNearest" "symbol"
"X29651.100616254" "chr4" 76611500 76612000 501 "*" 4.63 3.26 5.32 -2.06 1.32e-05 0.00421 "29651" "100616254" 76575541 76575650 "+" "downstream" 35959 35850 "NearestLocation" "MIR548AH"
"X29647.100616299" "chr4" 76570026 76570526 501 "*" 5.79 4.69 6.4 -1.71 1.34e-05 0.00426 "29647" "100616299" 76573568 76573632 "+" "upstream" -3542 3042 "NearestLocation" "MIR4450"
"X15861.9094" "chr17" 28536775 28537275 501 "*" 4.99 3.78 5.64 -1.86 1.41e-05 0.00445 "15861" "9094" 28546707 28552668 "-" "downstream" 15893 9432 "NearestLocation" "UNC119"
"X28891.100131551" "chr3" 194323763 194324263 501 "*" 5.52 4.46 6.12 -1.67 1.43e-05 0.00448 "28891" "100131551" 194296465 194312803 "-" "upstream" -10960 10960 "NearestLocation" "LINC00887"
"X23014.106144538" "chr20" 44765639 44766139 501 "*" 5.13 4.11 5.73 -1.61 1.46e-05 0.00453 "23014" "106144538" 44694892 44746021 "-" "upstream" -19618 19618 "NearestLocation" "KCNK15-AS1"
"X40742.10880" "chr9" 108478680 108479180 501 "*" 5.64 4.64 6.23 -1.59 1.52e-05 0.00464 "40742" "10880" 108854589 108856967 "-" "downstream" 378287 375409 "NearestLocation" "ACTL7B"
"X15212.100847022" "chr16" 85306074 85306574 501 "*" 5.68 4.45 6.34 -1.89 1.52e-05 0.00464 "15212" "100847022" 85306226 85306325 "-" "includeFeature" 251 152 "NearestLocation" "MIR5093"
"X201.54897" "chr1" 10752240 10752740 501 "*" 3.7 1.36 4.55 -3.19 1.55e-05 0.00471 "201" "54897" 10636604 10796650 "-" "inside" 44410 43910 "NearestLocation" "CASZ1"
"X7155.2248" "chr11" 69891496 69891996 501 "*" 5.39 4.35 5.99 -1.64 1.61e-05 0.00487 "7155" "2248" 69810224 69819024 "-" "upstream" -72472 72472 "NearestLocation" "FGF3"
"X13910.8312" "chr16" 327023 327523 501 "*" 5.52 4.43 6.13 -1.7 1.75e-05 0.00522 "13910" "8312" 287440 352673 "-" "inside" 25650 25150 "NearestLocation" "AXIN1"
"X17735.284266" "chr18" 45793458 45793958 501 "*" 6.43 5.54 6.98 -1.44 1.82e-05 0.00541 "17735" "284266" 45825512 45844080 "+" "upstream" -32054 31554 "NearestLocation" "SIGLEC15"
"X2555.100126346" "chr1" 154190502 154191002 501 "*" 4.93 3.73 5.58 -1.85 1.84e-05 0.00541 "2555" "100126346" 154193642 154193753 "-" "downstream" 3251 2640 "NearestLocation" "MIR190B"
"X13013.494334" "chr15" 63896717 63897217 501 "*" 4.81 3.57 5.47 -1.9 1.89e-05 0.00553 "13013" "494334" 63870930 63871019 "-" "upstream" -25698 25698 "NearestLocation" "MIR422A"
"X14460.728741" "chr16" 28329093 28329593 501 "*" 4.17 2.27 4.96 -2.69 1.94e-05 0.00565 "14460" "728741" 28342555 28363508 "-" "downstream" 34415 12962 "NearestLocation" "NPIPB6"
"X4251.399706" "chr10" 1268725 1269225 501 "*" 5.72 4.79 6.29 -1.5 1.96e-05 0.00565 "4251" "399706" 1159768 1164672 "+" "downstream" 108957 104053 "NearestLocation" "LINC00200"
"X37281.7516" "chr7" 152699279 152699779 501 "*" 5.62 4.59 6.21 -1.62 2.01e-05 0.00574 "37281" "7516" 152644779 152676165 "-" "upstream" -23114 23114 "NearestLocation" "XRCC2"
"X33058.6239" "chr6" 7062306 7062806 501 "*" 5 3.83 5.64 -1.81 2.01e-05 0.00574 "33058" "6239" 7107597 7251980 "+" "upstream" -45291 44791 "NearestLocation" "RREB1"
"X9687.105370024" "chr12" 119171264 119171764 501 "*" 7.01 5.87 7.64 -1.76 2.03e-05 0.00575 "9687" "105370024" 119174065 119176484 "-" "downstream" 5220 2301 "NearestLocation" "LOC105370024"
"X22656.400839" "chr20" 24131312 24131812 501 "*" 7.22 6.44 7.72 -1.28 2.11e-05 0.00593 "22656" "400839" 24199767 24224588 "+" "upstream" -68455 67955 "NearestLocation" "LINC01721"
"X5539.953" "chr10" 95716721 95717221 501 "*" 3.97 1.82 4.79 -2.97 2.24e-05 0.00626 "5539" "953" 95711779 95869695 "+" "inside" 4942 4942 "NearestLocation" "ENTPD1"
"X6605.6506" "chr11" 35365744 35366244 501 "*" 6.57 5.42 7.2 -1.78 2.3e-05 0.00638 "6605" "6506" 35251206 35420063 "-" "inside" 54319 53819 "NearestLocation" "SLC1A2"
"X18008.6794" "chr19" 1185605 1186105 501 "*" 6.35 5.37 6.93 -1.57 2.42e-05 0.00668 "18008" "6794" 1177558 1228435 "+" "inside" 8047 8047 "NearestLocation" "STK11"
"X20606.5903" "chr2" 108651216 108651716 501 "*" 4.88 3.82 5.49 -1.67 2.49e-05 0.00681 "20606" "5903" 108719481 108785811 "+" "upstream" -68265 67765 "NearestLocation" "RANBP2"
"X37084.5726" "chr7" 142384335 142384835 501 "*" 4.27 2.84 4.97 -2.14 2.6e-05 0.00708 "37084" "5726" 141972631 141973773 "-" "upstream" -410562 410562 "NearestLocation" "TAS2R38"
"X29018.10861" "chr4" 997707 998207 501 "*" 5 3.76 5.66 -1.9 2.76e-05 0.00745 "29018" "10861" 979073 993440 "-" "upstream" -4267 4267 "NearestLocation" "SLC26A1"
"X14534.64319" "chr16" 30667457 30667957 501 "*" 6.17 5.32 6.71 -1.39 2.84e-05 0.00764 "14534" "64319" 30658431 30670814 "+" "inside" 9026 2857 "NearestLocation" "FBRS"
"X3611.50604" "chr1" 206843627 206844127 501 "*" 4.98 3.74 5.64 -1.9 3.1e-05 0.00826 "3611" "50604" 206865354 206869223 "+" "upstream" -21727 21227 "NearestLocation" "IL20"
"X32515.23367" "chr5" 154701049 154701549 501 "*" 4.95 3.72 5.6 -1.89 3.13e-05 0.00831 "32515" "23367" 154712902 154817607 "+" "upstream" -11853 11353 "NearestLocation" "LARP1"
"X12197.730202" "chr14" 96574757 96575257 501 "*" 5.19 4.27 5.75 -1.48 3.23e-05 0.0085 "12197" "730202" 96500810 96502321 "-" "upstream" -72436 72436 "NearestLocation" "LOC730202"
"X27189.100873983" "chr3" 65925223 65925723 501 "*" 4.6 3.22 5.29 -2.07 3.42e-05 0.00896 "27189" "100873983" 65893816 65925297 "+" "overlapEnd" 31407 74 "NearestLocation" "MAGI1-AS1"
"X32719.101928154" "chr5" 173829561 173830061 501 "*" 5.22 4.2 5.81 -1.61 3.45e-05 0.00896 "32719" "101928154" 173786790 173790942 "-" "upstream" -38619 38619 "NearestLocation" "LINC01485"
"X39186.100302281" "chr8" 128141893 128142393 501 "*" 7.95 6.97 8.54 -1.57 3.51e-05 0.00897 "39186" "100302281" 128150116 128150188 "+" "upstream" -8223 7723 "NearestLocation" "MIR1208"
"X20468.51455" "chr2" 99636633 99637133 501 "*" 4.28 2.81 5 -2.19 3.51e-05 0.00897 "20468" "51455" 99400475 99490035 "-" "upstream" -146598 146598 "NearestLocation" "REV1"
"X19227.100616469" "chr2" 11512712 11513212 501 "*" 4.73 3.43 5.4 -1.97 3.51e-05 0.00897 "19227" "100616469" 11540605 11540677 "-" "downstream" 27965 27393 "NearestLocation" "MIR4429"
"X16381.51649" "chr17" 57899757 57900257 501 "*" 7.17 6.24 7.74 -1.5 3.68e-05 0.0093 "16381" "51649" 57834781 57850056 "-" "upstream" -49701 49701 "NearestLocation" "MRPS23"
"X3698.5629" "chr1" 213570599 213571099 501 "*" 5.28 4.39 5.83 -1.44 3.69e-05 0.0093 "3698" "5629" 213983181 214041502 "+" "upstream" -412582 412082 "NearestLocation" "PROX1"
"X34644.5570" "chr6" 122620360 122621291 932 "*" 5.47 4.58 6.02 -1.44 3.79e-05 0.00952 "34644" "5570" 122471917 122726373 "+" "inside" 148443 105082 "NearestLocation" "PKIB"
"X16836.8787" "chr17" 65243671 65244171 501 "*" 4.14 2.53 4.88 -2.35 3.82e-05 0.00954 "16836" "8787" 65137431 65227703 "+" "downstream" 106240 15968 "NearestLocation" "RGS9"
"X7636.5962" "chr11" 110298985 110299485 501 "*" 5.18 4.15 5.78 -1.62 4.12e-05 0.0102 "7636" "5962" 110174880 110296722 "-" "upstream" -2263 2263 "NearestLocation" "RDX"
"X17576.147463" "chr18" 23627152 23627652 501 "*" 5.12 4 5.74 -1.73 4.16e-05 0.0103 "17576" "147463" 23598926 23662885 "-" "inside" 35733 28226 "NearestLocation" "ANKRD29"
"X31019.1016" "chr5" 21491062 21491562 501 "*" 5.77 4.63 6.4 -1.77 4.37e-05 0.0107 "31019" "1016" 19472951 20575873 "-" "upstream" -915189 915189 "NearestLocation" "CDH18"
"X15322.102724467" "chr16" 87789909 87790409 501 "*" 7.93 7.11 8.45 -1.33 4.54e-05 0.0111 "15322" "102724467" 87773488 87779374 "-" "upstream" -10535 10535 "NearestLocation" "LOC102724467"
"X17138.10801" "chr17" 77286802 77287302 501 "*" 6.59 5.79 7.11 -1.32 4.61e-05 0.0112 "17138" "10801" 77280569 77500596 "+" "inside" 6233 6233 "NearestLocation" "SEPT9"
"X16003.3487" "chr17" 40448503 40449003 501 "*" 4.89 3.61 5.56 -1.95 4.66e-05 0.0112 "16003" "3487" 40443461 40457731 "+" "inside" 5042 5042 "NearestLocation" "IGFBP4"
"X21245.1803" "chr2" 161871983 161872483 501 "*" 6 4.98 6.6 -1.61 4.91e-05 0.0118 "21245" "1803" 161992241 162074542 "-" "downstream" 202559 119758 "NearestLocation" "DPP4"
"X18480.9745" "chr19" 30698300 30698800 501 "*" 4.81 3.53 5.47 -1.94 5.03e-05 0.012 "18480" "9745" 30228514 30713538 "+" "inside" 469786 14738 "NearestLocation" "ZNF536"
"X42681.30848" "chrX" 154649625 154650125 501 "*" 3.7 1.73 4.5 -2.77 5.11e-05 0.012 "42681" "30848" 154651972 154653579 "-" "downstream" 3954 1847 "NearestLocation" "CTAG2"
"X29138.57537" "chr4" 7212198 7212698 501 "*" 6.81 6.08 7.3 -1.22 5.11e-05 0.012 "29138" "57537" 7192538 7742836 "+" "inside" 19660 19660 "NearestLocation" "SORCS2"
"X37635.79873" "chr8" 22112499 22112999 501 "*" 5.16 4.05 5.78 -1.73 5.13e-05 0.012 "37635" "79873" 22106872 22109419 "-" "upstream" -3080 3080 "NearestLocation" "NUDT18"
"X7399.100126333" "chr11" 79059914 79060414 501 "*" 7.33 6.4 7.9 -1.49 5.15e-05 0.012 "7399" "100126333" 79402022 79402109 "-" "downstream" 342195 341608 "NearestLocation" "MIR708"
"X33476.100507399" "chr6" 30751435 30751935 501 "*" 5.07 3.89 5.71 -1.82 5.21e-05 0.012 "33476" "100507399" 30010829 30012273 "-" "upstream" -739162 739162 "NearestLocation" "NA"
"X22819.647979" "chr20" 36064641 36065141 501 "*" 6.34 5.52 6.86 -1.34 5.23e-05 0.012 "22819" "647979" 36045622 36050960 "-" "upstream" -13681 13681 "NearestLocation" "NORAD"
"X33341.729177" "chr6" 21971554 21972054 501 "*" 4.92 3.79 5.55 -1.76 5.47e-05 0.0124 "33341" "729177" 22134957 22147193 "-" "downstream" 175639 162903 "NearestLocation" "NBAT1"
"X27201.26018" "chr3" 66475508 66476008 501 "*" 5.62 4.68 6.18 -1.5 5.47e-05 0.0124 "27201" "26018" 66378797 66501263 "-" "inside" 25755 25255 "NearestLocation" "LRIG1"
"X36498.100422858" "chr7" 102317029 102317529 501 "*" 5.84 4.97 6.38 -1.42 5.67e-05 0.0128 "36498" "100422858" 102293103 102293187 "+" "downstream" 23926 23842 "NearestLocation" "MIR4285"
"X12583.342184" "chr15" 33083477 33083977 501 "*" 6.55 5.75 7.07 -1.32 5.82e-05 0.013 "12583" "342184" 32765545 33194733 "-" "inside" 111256 110756 "NearestLocation" "FMN1"
"X25861.26061" "chr3" 15636135 15636635 501 "*" 6.97 6.08 7.51 -1.43 5.82e-05 0.013 "25861" "26061" 15560704 15601852 "-" "upstream" -34283 34283 "NearestLocation" "HACL1"
"X4307.100652988" "chr10" 4279679 4280179 501 "*" 4.91 3.96 5.48 -1.52 5.87e-05 0.0131 "4307" "100652988" 4201141 4243912 "-" "upstream" -35767 35767 "NearestLocation" "LINC00702"
"X24388.29761" "chr21" 15587010 15587510 501 "*" 4.17 2.72 4.88 -2.16 5.93e-05 0.0132 "24388" "29761" 15730025 15880069 "+" "upstream" -143015 142515 "NearestLocation" "USP25"
"X7993.7450" "chr12" 6065169 6065669 501 "*" 7.36 6.44 7.92 -1.47 5.99e-05 0.0132 "7993" "7450" 5948874 6124770 "-" "inside" 59601 59101 "NearestLocation" "VWF"
"X37054.90956" "chr7" 140628105 140628605 501 "*" 5.07 3.92 5.7 -1.78 6.18e-05 0.0136 "37054" "90956" 140673153 140696261 "+" "upstream" -45048 44548 "NearestLocation" "ADCK2"
"X13175.79875" "chr15" 71096567 71097067 501 "*" 7.23 6.3 7.8 -1.49 6.21e-05 0.0136 "13175" "79875" 71096952 71783383 "+" "overlapStart" -385 115 "NearestLocation" "THSD4"
"X29048.402160" "chr4" 2419211 2419711 501 "*" 4.71 3.57 5.34 -1.77 6.34e-05 0.0138 "29048" "402160" 2418974 2462942 "+" "inside" 237 237 "NearestLocation" "CFAP99"
"X37732.101929470" "chr8" 29809603 29810103 501 "*" 4.85 3.71 5.48 -1.77 6.51e-05 0.014 "37732" "101929470" 29815004 29854543 "-" "downstream" 44940 4901 "NearestLocation" "LOC101929470"
"X3972.5867" "chr1" 229165375 229165875 501 "*" 5.08 4.1 5.66 -1.56 6.77e-05 0.0145 "3972" "5867" 229271062 229305894 "+" "upstream" -105687 105187 "NearestLocation" "RAB4A"
"X3663.55733" "chr1" 210366779 210367279 501 "*" 6.84 5.87 7.41 -1.54 6.93e-05 0.0147 "3663" "55733" 210328252 210676296 "+" "inside" 38527 38527 "NearestLocation" "HHAT"
"X40679.55151" "chr9" 105912765 105913265 501 "*" 5.43 4.4 6.03 -1.63 6.93e-05 0.0147 "40679" "55151" 105694544 105776612 "+" "downstream" 218221 136153 "NearestLocation" "TMEM38B"
"X13765.145820" "chr15" 95803438 95803938 501 "*" 5.62 4.47 6.25 -1.78 7.13e-05 0.0151 "13765" "145820" 95433095 95507847 "+" "downstream" 370343 295591 "NearestLocation" "LINC00924"
"X34413.639" "chr6" 106135128 106135628 501 "*" 6.29 5.41 6.84 -1.43 7.19e-05 0.0151 "34413" "639" 106086320 106109939 "+" "downstream" 48808 25189 "NearestLocation" "PRDM1"
"X18509.11136" "chr19" 32876662 32877162 501 "*" 5.52 4.52 6.1 -1.58 7.23e-05 0.0151 "18509" "11136" 32830509 32869766 "-" "upstream" -6896 6896 "NearestLocation" "SLC7A9"
"X5009.220965" "chr10" 59323138 59323638 501 "*" 5.04 3.95 5.65 -1.7 7.24e-05 0.0151 "5009" "220965" 59246129 59363181 "-" "inside" 40043 39543 "NearestLocation" "FAM13C"
"X19894.6233" "chr2" 55163732 55164232 501 "*" 6.76 5.9 7.3 -1.4 7.39e-05 0.0153 "19894" "6233" 55231903 55235853 "+" "upstream" -68171 67671 "NearestLocation" "RPS27A"
"X19228.100616469" "chr2" 11530838 11531338 501 "*" 5.49 4.37 6.11 -1.74 7.42e-05 0.0153 "19228" "100616469" 11540605 11540677 "-" "downstream" 9839 9267 "NearestLocation" "MIR4429"
"X39730.158326" "chr9" 14895752 14896252 501 "*" 5.42 4.4 6.01 -1.61 7.46e-05 0.0153 "39730" "158326" 14734666 14910995 "-" "inside" 15243 14743 "NearestLocation" "FREM1"
"X7311.442900" "chr11" 75333729 75334229 501 "*" 6.48 5.51 7.06 -1.55 7.54e-05 0.0154 "7311" "442900" 75335092 75335186 "-" "downstream" 1457 863 "NearestLocation" "MIR326"
"X11269.84075" "chr14" 43898120 43898620 501 "*" 5.76 4.77 6.34 -1.58 7.59e-05 0.0154 "11269" "84075" 44504342 44507279 "-" "downstream" 609159 605722 "NearestLocation" "FSCB"
"X21545.116093" "chr2" 188850819 188851319 501 "*" 5.14 4.13 5.73 -1.59 8.32e-05 0.0168 "21545" "116093" 188734155 188790104 "-" "upstream" -60715 60715 "NearestLocation" "DIRC1"
"X9427.84102" "chr12" 104763348 104763848 501 "*" 4.72 3.69 5.32 -1.63 8.33e-05 0.0168 "9427" "84102" 104802553 104928655 "-" "downstream" 165307 38705 "NearestLocation" "SLC41A2"
"X31326.441072" "chr5" 56029822 56030322 501 "*" 5.22 4.24 5.79 -1.55 8.39e-05 0.0168 "31326" "441072" 55995167 56003649 "+" "downstream" 34655 26173 "NearestLocation" "FLJ31104"
"X41378.100616236" "chr9" 134359341 134359841 501 "*" 4.97 4.02 5.54 -1.52 8.45e-05 0.0169 "41378" "100616236" 134379411 134379472 "+" "upstream" -20070 19570 "NearestLocation" "MIR4669"
"X40842.100616114" "chr9" 112012123 112012623 501 "*" 6.09 5.17 6.64 -1.47 8.57e-05 0.017 "40842" "100616114" 111932100 111932169 "+" "downstream" 80023 79954 "NearestLocation" "MIR4668"
"X17876.23239" "chr18" 62993033 62993533 501 "*" 5.75 4.78 6.33 -1.55 8.69e-05 0.0172 "17876" "23239" 62715450 62980433 "+" "downstream" 277583 12600 "NearestLocation" "PHLPP1"
"X16722.162333" "chr17" 62804696 62805196 501 "*" 6.44 5.73 6.92 -1.18 9.02e-05 0.0177 "16722" "162333" 62701314 62808344 "-" "inside" 3648 3148 "NearestLocation" "MARCH10"
"X4923.474354" "chr10" 48814006 48814506 501 "*" 5.08 4.14 5.65 -1.51 9.36e-05 0.0183 "4923" "474354" 48909483 48935190 "-" "downstream" 121184 94977 "NearestLocation" "LRRC18"
"X16183.3211" "chr17" 48499994 48500494 501 "*" 5.37 4.46 5.92 -1.46 9.54e-05 0.0186 "16183" "3211" 48528526 48530997 "-" "downstream" 31003 28032 "NearestLocation" "HOXB1"
"X18487.57616" "chr19" 31418076 31418576 501 "*" 5.31 4.47 5.83 -1.36 9.66e-05 0.0186 "18487" "57616" 31274945 31349547 "-" "upstream" -68529 68529 "NearestLocation" "TSHZ3"
"X24889.388830" "chr21" 45330227 45330727 501 "*" 6.43 5.64 6.93 -1.29 9.66e-05 0.0186 "24889" "388830" 45338590 45341990 "-" "downstream" 11763 7863 "NearestLocation" "LINC00316"
"X25792.79885" "chr3" 13476068 13476568 501 "*" 5.89 5.05 6.42 -1.38 9.72e-05 0.0186 "25792" "79885" 13479724 13506424 "+" "upstream" -3656 3156 "NearestLocation" "HDAC11"
"X14244.105447648" "chr16" 14370125 14370625 501 "*" 4.7 3.62 5.31 -1.69 9.75e-05 0.0186 "14244" "105447648" 14363109 14370266 "-" "overlapStart" 141 141 "NearestLocation" "LINC02130"
"X37934.10434" "chr8" 54106286 54106786 501 "*" 7.52 6.69 8.04 -1.35 0.000102 0.0195 "37934" "10434" 54046367 54102017 "-" "upstream" -4269 4269 "NearestLocation" "LYPLA1"
"X5805.374354" "chr10" 113927521 113928021 501 "*" 5.3 4.41 5.84 -1.43 0.000108 0.0204 "5805" "374354" 113854661 113917194 "+" "downstream" 72860 10327 "NearestLocation" "NHLRC2"
"X25319.114904" "chr22" 37197639 37198139 501 "*" 5.5 4.69 6.01 -1.32 0.00011 0.0207 "25319" "114904" 37180167 37198301 "-" "inside" 662 162 "NearestLocation" "C1QTNF6"
"X40330.100129066" "chr9" 89669280 89669780 501 "*" 5.72 4.87 6.25 -1.38 0.00011 0.0207 "40330" "100129066" 89639814 89719759 "+" "inside" 29466 29466 "NearestLocation" "UNQ6494"
"X40475.100313780" "chr9" 94782897 94783397 501 "*" 8.8 7.96 9.32 -1.37 0.000115 0.0215 "40475" "100313780" 94809962 94810057 "+" "upstream" -27065 26565 "NearestLocation" "MIR2278"
"X12046.400238" "chr14" 90512250 90512750 501 "*" 5.87 4.94 6.43 -1.49 0.000118 0.0219 "12046" "400238" 90455230 90458905 "+" "downstream" 57020 53345 "NearestLocation" "LINC00642"
"X4664.283080" "chr10" 28925398 28925898 501 "*" 4.63 3.4 5.28 -1.88 0.000118 0.0219 "4664" "283080" 28846408 28881898 "+" "downstream" 78990 43500 "NearestLocation" "C10orf126"
"X28787.100874027" "chr3" 189098689 189099189 501 "*" 5.36 4.33 5.96 -1.62 0.00012 0.0222 "28787" "100874027" 189238686 189240594 "-" "downstream" 141905 139497 "NearestLocation" "TPRG1-AS2"
"X31657.101929215" "chr5" 80075377 80075877 501 "*" 4.7 3.48 5.35 -1.87 0.000126 0.0229 "31657" "101929215" 80052374 80083654 "-" "inside" 8277 7777 "NearestLocation" "CTD-2201I18.1"
"X38150.51101" "chr8" 78644325 78644825 501 "*" 6.83 6.07 7.32 -1.25 0.000126 0.0229 "38150" "51101" 78666047 78719765 "+" "upstream" -21722 21222 "NearestLocation" "ZC2HC1A"
"X24423.101927797" "chr21" 19567104 19567604 501 "*" 4.78 3.6 5.42 -1.82 0.000126 0.0229 "24423" "101927797" 18561265 18760003 "-" "upstream" -807101 807101 "NearestLocation" "MIR548XHG"
"X37910.9821" "chr8" 52706862 52707362 501 "*" 5.53 4.69 6.06 -1.38 0.000128 0.0231 "37910" "9821" 52622456 52745843 "-" "inside" 38981 38481 "NearestLocation" "RB1CC1"
"X9368.56994" "chr12" 101697443 101697943 501 "*" 7.13 6.35 7.64 -1.29 0.000132 0.0237 "9368" "56994" 101696947 101744140 "+" "inside" 496 496 "NearestLocation" "CHPT1"
"X15628.5957" "chr17" 9968835 9969335 501 "*" 6.52 5.74 7.02 -1.28 0.000132 0.0237 "15628" "5957" 9896320 9905621 "-" "upstream" -63214 63214 "NearestLocation" "RCVRN"
"X3152.80267" "chr1" 184626533 184627033 501 "*" 3.87 2.46 4.58 -2.12 0.000136 0.0244 "3152" "80267" 184690231 184754913 "-" "downstream" 128380 63198 "NearestLocation" "EDEM3"
"X7385.283219" "chr11" 78259810 78260310 501 "*" 4.3 3.13 4.94 -1.81 0.000137 0.0244 "7385" "283219" 78171249 78188822 "-" "upstream" -70988 70988 "NearestLocation" "KCTD21"
"X37726.619351" "chr8" 29579616 29580116 501 "*" 5.36 4.29 5.97 -1.68 0.000139 0.0246 "37726" "619351" 29673922 29748109 "-" "downstream" 168493 93806 "NearestLocation" "LINC00589"
"X18739.5678" "chr19" 43265518 43266018 501 "*" 6.8 5.9 7.36 -1.45 0.000141 0.0248 "18739" "5678" 43211791 43269530 "-" "inside" 4012 3512 "NearestLocation" "PSG9"
"X25818.7508" "chr3" 14256540 14257040 501 "*" 4.88 3.66 5.53 -1.87 0.000141 0.0248 "25818" "7508" 14145147 14178783 "-" "upstream" -77757 77757 "NearestLocation" "XPC"
"X40927.9550" "chr9" 114558294 114558794 501 "*" 8.28 7.46 8.81 -1.35 0.000142 0.0249 "40927" "9550" 114587746 114598373 "+" "upstream" -29452 28952 "NearestLocation" "ATP6V1G1"
"X28180.7104" "chr3" 149507621 149508121 501 "*" 6.43 5.65 6.93 -1.27 0.000143 0.0249 "28180" "7104" 149473974 149503281 "+" "downstream" 33647 4340 "NearestLocation" "TM4SF4"
"X21184.100129029" "chr2" 158727140 158727640 501 "*" 5.44 4.53 6 -1.47 0.000144 0.0251 "21184" "100129029" 158658337 158735002 "-" "inside" 7862 7362 "NearestLocation" "PKP4-AS1"
"X40471.2203" "chr9" 94638910 94639410 501 "*" 6.35 5.51 6.88 -1.37 0.000147 0.0255 "40471" "2203" 94603133 94640249 "-" "inside" 1339 839 "NearestLocation" "FBP1"
"X35072.2099" "chr6" 151615837 151616337 501 "*" 6.14 5.29 6.68 -1.39 0.000148 0.0255 "35072" "2099" 151656691 152129619 "+" "upstream" -40854 40354 "NearestLocation" "ESR1"
"X10917.64184" "chr14" 20761021 20761521 501 "*" 6.92 6.18 7.41 -1.22 0.000148 0.0255 "10917" "64184" 20768427 20770948 "+" "upstream" -7406 6906 "NearestLocation" "EDDM3B"
"X41832.100500809" "chrX" 20059652 20060152 501 "*" 4.46 3.45 5.05 -1.61 0.000151 0.0258 "41832" "100500809" 20017081 20017191 "-" "upstream" -42461 42461 "NearestLocation" "MIR23C"
"X29157.407052" "chr4" 8010052 8010552 501 "*" 4.87 3.81 5.48 -1.67 0.000154 0.0261 "29157" "407052" 8005301 8005381 "-" "upstream" -4671 4671 "NearestLocation" "MIR95"
"X28342.3592" "chr3" 159928621 159929121 501 "*" 3.7 1.95 4.46 -2.51 0.000155 0.0262 "28342" "3592" 159988750 159996019 "+" "upstream" -60129 59629 "NearestLocation" "IL12A"
"X24236.79444" "chr20" 63232056 63232556 501 "*" 5.16 4.3 5.7 -1.4 0.000156 0.0263 "24236" "79444" 63235883 63240507 "+" "upstream" -3827 3327 "NearestLocation" "BIRC7"
"X8588.144501" "chr12" 52148619 52149119 501 "*" 6.1 5.21 6.65 -1.44 0.000159 0.0267 "8588" "144501" 52168996 52192000 "-" "downstream" 43381 19877 "NearestLocation" "KRT80"
"X22111.165100" "chr2" 231600885 231601385 501 "*" 5.92 4.88 6.52 -1.64 0.000168 0.0282 "22111" "165100" 231592901 231594283 "+" "downstream" 7984 6602 "NearestLocation" "TEX44"
"X4825.55454" "chr10" 43110751 43111251 501 "*" 4.75 3.77 5.32 -1.55 0.000169 0.0283 "4825" "55454" 43138486 43185308 "+" "upstream" -27735 27235 "NearestLocation" "CSGALNACT2"
"X27549.285205" "chr3" 107986486 107986986 501 "*" 6.47 5.59 7.01 -1.42 0.000171 0.0284 "27549" "285205" 107883248 107928907 "+" "downstream" 103238 57579 "NearestLocation" "LINC00636"
"X27900.23129" "chr3" 129694212 129694712 501 "*" 7.34 6.4 7.9 -1.5 0.000173 0.0287 "27900" "23129" 129555175 129606818 "-" "upstream" -87394 87394 "NearestLocation" "PLXND1"
"X40033.23670" "chr9" 71826298 71826798 501 "*" 5.35 4.43 5.91 -1.48 0.000176 0.0291 "40033" "23670" 71683366 71816690 "-" "upstream" -9608 9608 "NearestLocation" "TMEM2"
"X4178.84288" "chr1" 245336290 245336790 501 "*" 5.48 4.51 6.06 -1.55 0.000181 0.0297 "4178" "84288" 244969705 245127164 "+" "downstream" 366585 209126 "NearestLocation" "EFCAB2"
"X24778.7031" "chr21" 42375375 42375875 501 "*" 5.17 4.35 5.7 -1.34 0.000183 0.03 "24778" "7031" 42362282 42366594 "-" "upstream" -8781 8781 "NearestLocation" "TFF1"
"X9838.102466204" "chr12" 124392884 124393384 501 "*" 5.14 4.24 5.69 -1.45 0.000185 0.0301 "9838" "102466204" 124337181 124337242 "-" "upstream" -55642 55642 "NearestLocation" "MIR6880"
"X27763.3693" "chr3" 124834506 124835006 501 "*" 5.64 4.86 6.14 -1.27 0.000189 0.0307 "27763" "3693" 124761948 124901418 "-" "inside" 66912 66412 "NearestLocation" "ITGB5"
"X3406.59352" "chr1" 202254175 202254675 501 "*" 5.25 4.42 5.78 -1.36 0.00019 0.0307 "3406" "59352" 202193901 202319781 "+" "inside" 60274 60274 "NearestLocation" "LGR6"
"X10247.400120" "chr13" 36629495 36629995 501 "*" 4.89 3.89 5.48 -1.59 0.000192 0.0309 "10247" "400120" 36673912 36697839 "+" "upstream" -44417 43917 "NearestLocation" "SERTM1"
"X11390.100847076" "chr14" 53946822 53947322 501 "*" 7.04 6.34 7.5 -1.16 0.000194 0.0311 "11390" "100847076" 53948427 53948484 "-" "downstream" 1662 1105 "NearestLocation" "MIR5580"
"X6015.1488" "chr10" 125129368 125129868 501 "*" 6.6 5.76 7.13 -1.37 0.000195 0.0311 "6015" "1488" 124984317 125161170 "-" "inside" 31802 31302 "NearestLocation" "CTBP2"
"X6671.60529" "chr11" 44300769 44301269 501 "*" 6.07 5.35 6.55 -1.2 0.000196 0.0311 "6671" "60529" 44260444 44310166 "-" "inside" 9397 8897 "NearestLocation" "ALX4"
